Date,Category,Assets,Liabilities,Net worth,Household count
1992:Q3,GenX,413425,183504,229921,9278273
1992:Q3,Millennial,0,0,0,0
1992:Q4,Silent,19642490,1439040,18203450,45979805
1992:Q4,BabyBoom,7822991,2210879,5612112,40421283
1992:Q4,GenX,479634,206656,272978,9760183
1992:Q4,Millennial,0,0,0,0
1993:Q1,Silent,19743891,1422459,18321432,45593293
1993:Q1,BabyBoom,8018529,2219624,5798905,40557081
1993:Q1,GenX,512428,220104,292324,10255951
1993:Q1,Millennial,0,0,0,0
1993:Q2,Silent,19804934,1418543,18386392,45195024
1993:Q2,BabyBoom,8261939,2264849,5997090,40694454
1993:Q2,GenX,551224,244190,307034,10763548
1993:Q2,Millennial,0,0,0,0
1993:Q3,Silent,19941185,1412757,18528428,44789070
1993:Q3,BabyBoom,8570951,2332328,6238623,40831741
1993:Q3,GenX,606606,267865,338741,11280946
1993:Q3,Millennial,0,0,0,0
1993:Q4,Silent,20119578,1414070,18705508,44379506
1993:Q4,BabyBoom,8868182,2393841,6474341,40967279
1993:Q4,GenX,660303,297600,362703,11806113
1993:Q4,Millennial,0,0,0,0
1994:Q1,Silent,20183431,1396134,18787297,43970405
1994:Q1,BabyBoom,8978353,2425777,6552576,41099405
1994:Q1,GenX,668109,314917,353192,12337021
1994:Q1,Millennial,0,0,0,0
1994:Q2,Silent,20275483,1397819,18877665,43565840
1994:Q2,BabyBoom,9135198,2475417,6659781,41226457
1994:Q2,GenX,690039,347733,342306,12871640
1994:Q2,Millennial,0,0,0,0
1994:Q3,Silent,20374981,1398782,18976199,43169886
1994:Q3,BabyBoom,9428508,2528021,6900487,41346772
1994:Q3,GenX,751918,382574,369344,13407942
1994:Q3,Millennial,0,0,0,0
1994:Q4,Silent,20467942,1407379,19060563,42786615
1994:Q4,BabyBoom,9610364,2596948,7013416,41458689
1994:Q4,GenX,792770,424291,368478,13943896
1994:Q4,Millennial,0,0,0,0
1995:Q1,Silent,20585570,1392240,19193330,42420100
1995:Q1,BabyBoom,9954998,2618269,7336729,41560544
1995:Q1,GenX,878136,446068,432068,14477472
1995:Q1,Millennial,0,0,0,0
1995:Q2,Silent,20707642,1388296,19319346,42074416
1995:Q2,BabyBoom,10381950,2679595,7702355,41650675
1995:Q2,GenX,969323,478617,490707,15006643
1995:Q2,Millennial,0,0,0,0
1995:Q3,Silent,20802857,1393106,19409750,41753636
1995:Q3,BabyBoom,10714755,2746363,7968392,41727420
1995:Q3,GenX,1066482,519662,546821,15529378
1995:Q3,Millennial,0,0,0,0
1995:Q4,Silent,21074752,1406615,19668137,41460467
1995:Q4,BabyBoom,11127391,2794930,8332462,41789886
1995:Q4,GenX,1149712,550913,598799,16044046
1995:Q4,Millennial,0,0,0,0
1996:Q1,Silent,21280796,1409085,19871711,41192149
1996:Q1,BabyBoom,11449438,2839743,8609695,41840260
1996:Q1,GenX,1216828,570467,646361,16550614
1996:Q1,Millennial,0,0,0,0
1996:Q2,Silent,21508667,1428759,20079908,40944558
1996:Q2,BabyBoom,11729377,2878816,8850561,41881500
1996:Q2,GenX,1257705,607846,649859,17049448
1996:Q2,Millennial,0,0,0,0
1996:Q3,Silent,21630237,1448074,20182163,40713566
1996:Q3,BabyBoom,11947580,2915440,9032140,41916562
1996:Q3,GenX,1296182,646486,649696,17540912
1996:Q3,Millennial,0,0,0,0
1996:Q4,Silent,21889633,1463276,20426357,40495050
1996:Q4,BabyBoom,12321663,2961394,9360269,41948403
1996:Q4,GenX,1421482,681797,739686,18025372
1996:Q4,Millennial,0,0,0,0
1997:Q1,Silent,21925368,1469997,20455370,40284882
1997:Q1,BabyBoom,12498773,2973766,9525008,41979981
1997:Q1,GenX,1465785,700578,765207,18503192
1997:Q1,Millennial,0,0,0,0
1997:Q2,Silent,22407112,1486266,20920846,40078938
1997:Q2,BabyBoom,13209360,3014855,10194505,42014252
1997:Q2,GenX,1680954,733710,947244,18974739
1997:Q2,Millennial,0,0,0,0
1997:Q3,Silent,22764940,1505587,21259353,39873091
1997:Q3,BabyBoom,13751783,3068691,10683092,42054173
1997:Q3,GenX,1860066,777928,1082138,19440377
1997:Q3,Millennial,0,0,0,0
1997:Q4,Silent,22993515,1528203,21465311,39663217
1997:Q4,BabyBoom,14058103,3095186,10962917,42102702
1997:Q4,GenX,1934298,820029,1114269,19900472
1997:Q4,Millennial,0,0,0,0
1998:Q1,Silent,23543632,1538823,22004809,39445189
1998:Q1,BabyBoom,14891033,3103870,11787163,42162795
1998:Q1,GenX,2193991,848480,1345511,20355388
1998:Q1,Millennial,0,0,0,0
1998:Q2,Silent,23827148,1559180,22267968,39214881
1998:Q2,BabyBoom,15331597,3167952,12163645,42237409
1998:Q2,GenX,2279271,895533,1383738,20805492
1998:Q2,Millennial,0,0,0,0
1998:Q3,Silent,23512799,1577444,21935355,38968169
1998:Q3,BabyBoom,15258004,3213747,12044257,42329502
1998:Q3,GenX,2154030,942124,1211906,21251148
1998:Q3,Millennial,0,0,0,0
1998:Q4,Silent,24060076,1579259,22480817,38702219
1998:Q4,BabyBoom,16394342,3298027,13096314,42440906
1998:Q4,GenX,2595432,995792,1599640,21692690
1998:Q4,Millennial,0,0,0,0
1999:Q1,Silent,23984883,1567447,22417436,38419374
1999:Q1,BabyBoom,16741577,3359232,13382345,42568958
1999:Q1,GenX,2715170,1030297,1684873,22130327
1999:Q1,Millennial,0,0,0,0
1999:Q2,Silent,24262647,1565580,22697067,38123269
1999:Q2,BabyBoom,17477823,3463532,14014291,42709873
1999:Q2,GenX,2937227,1079017,1858209,22564237
1999:Q2,Millennial,0,0,0,0
1999:Q3,Silent,24086151,1567212,22518939,37817540
1999:Q3,BabyBoom,17726422,3551683,14174739,42859863
1999:Q3,GenX,2977876,1145853,1832023,22994598
1999:Q3,Millennial,0,0,0,0
1999:Q4,Silent,24770293,1574792,23195501,37505821
1999:Q4,BabyBoom,19183762,3642216,15541546,43015141
1999:Q4,GenX,3468129,1215218,2252910,23421587
1999:Q4,Millennial,0,0,0,0
2000:Q1,Silent,24989312,1572752,23416560,37191747
2000:Q1,BabyBoom,19959341,3693196,16266145,43171921
2000:Q1,GenX,3700414,1267321,2433093,23845383
2000:Q1,Millennial,0,0,0,0
2000:Q2,Silent,24832830,1572042,23260788,36878955
2000:Q2,BabyBoom,20199797,3755856,16443940,43326417
2000:Q2,GenX,3754279,1343593,2410686,24266162
2000:Q2,Millennial,0,0,0,0
2000:Q3,Silent,24862274,1576461,23285813,36571079
2000:Q3,BabyBoom,20769951,3846708,16923243,43474840
2000:Q3,GenX,3909083,1428217,2480866,24684104
2000:Q3,Millennial,0,0,0,0
2000:Q4,Silent,24517970,1573443,22944528,36271754
2000:Q4,BabyBoom,20776698,3906021,16870677,43613406
2000:Q4,GenX,3820064,1503688,2316375,25099384
2000:Q4,Millennial,0,0,0,0
2001:Q1,Silent,24316762,1554559,22762203,35984617
2001:Q1,BabyBoom,20927976,3930080,16997897,43738326
2001:Q1,GenX,3776670,1549376,2227294,25512182
2001:Q1,Millennial,0,0,0,0
2001:Q2,Silent,24659430,1552476,23106954,35713301
2001:Q2,BabyBoom,21749760,4056053,17693708,43845815
2001:Q2,GenX,4057302,1621425,2435877,25922675
2001:Q2,Millennial,0,0,0,0
2001:Q3,Silent,24143066,1569944,22573122,35461444
2001:Q3,BabyBoom,21614065,4171379,17442686,43932085
2001:Q3,GenX,3904561,1722481,2182079,26331041
2001:Q3,Millennial,25746,15513,10233,771266
2001:Q4,Silent,24618143,1540959,23077184,35231549
2001:Q4,BabyBoom,22491077,4284245,18206832,43994523
2001:Q4,GenX,4222755,1759326,2463430,26737207
2001:Q4,Millennial,35215,14678,20537,988997
2002:Q1,Silent,24701976,1538791,23163185,35021609
2002:Q1,BabyBoom,22964346,4315241,18649106,44035211
2002:Q1,GenX,4408917,1850194,2558723,27140105
2002:Q1,Millennial,45871,20546,25324,1219053
2002:Q2,Silent,24471336,1539740,22931595,34828483
2002:Q2,BabyBoom,22846930,4373129,18473801,44057400
2002:Q2,GenX,4349863,1964165,2385698,27538417
2002:Q2,Millennial,53408,27154,26254,1461077
2002:Q3,Silent,23982353,1541669,22440683,34649032
2002:Q3,BabyBoom,22573233,4482303,18090931,44064346
2002:Q3,GenX,4225088,2063644,2161445,27930823
2002:Q3,Millennial,62117,30844,31272,1714712
2002:Q4,Silent,24231626,1545420,22686206,34480118
2002:Q4,BabyBoom,23187167,4599932,18587235,44059302
2002:Q4,GenX,4446516,2172771,2273745,28316006
2002:Q4,Millennial,68414,35543,32871,1979602
2003:Q1,Silent,24173342,1543293,22630049,34318602
2003:Q1,BabyBoom,23477922,4703864,18774058,44045522
2003:Q1,GenX,4534195,2250273,2283921,28692645
2003:Q1,Millennial,84906,38294,46612,2255391
2003:Q2,Silent,24760819,1567607,23193211,34161343
2003:Q2,BabyBoom,24670074,4917534,19752539,44026259
2003:Q2,GenX,4984372,2385690,2598682,29059424
2003:Q2,Millennial,99519,45677,53843,2541722
2003:Q3,Silent,24976561,1580228,23396334,34005204
2003:Q3,BabyBoom,25321807,4983991,20337816,44004768
2003:Q3,GenX,5239658,2543563,2696094,29415023
2003:Q3,Millennial,110390,59482,50908,2838239
2003:Q4,Silent,25562417,1601855,23960561,33847045
2003:Q4,BabyBoom,26373279,5098424,21274855,43984301
2003:Q4,GenX,5667951,2656196,3011755,29758124
2003:Q4,Millennial,126979,63253,63726,3144585
2004:Q1,Silent,26503844,1599706,24904138,33683727
2004:Q1,BabyBoom,27665273,5181741,22483532,43968114
2004:Q1,GenX,5982048,2745074,3236974,30087409
2004:Q1,Millennial,149582,69882,79700,3460405
2004:Q2,Silent,26582799,1615943,24966855,33512112
2004:Q2,BabyBoom,28390933,5303306,23087627,43959460
2004:Q2,GenX,6240684,2897817,3342868,30401557
2004:Q2,Millennial,168292,84775,83517,3785341
2004:Q3,Silent,26949595,1616553,25333042,33329059
2004:Q3,BabyBoom,29221310,5431235,23790075,43961592
2004:Q3,GenX,6468076,3032980,3435096,30699252
2004:Q3,Millennial,196964,94745,102219,4119038
2004:Q4,Silent,27465395,1657131,25808264,33132086
2004:Q4,BabyBoom,30598506,5555663,25042843,43976707
2004:Q4,GenX,7000983,3196155,3804828,30979513
2004:Q4,Millennial,236995,113357,123638,4461092
2005:Q1,Silent,27546645,1663493,25883152,32921334
2005:Q1,BabyBoom,31216289,5696642,25519646,44002773
2005:Q1,GenX,7292590,3261513,4031077,31242718
2005:Q1,Millennial,269203,100929,168275,4810912
2005:Q2,Silent,27934818,1701249,26233569,32697601
2005:Q2,BabyBoom,32174580,5808394,26366186,44036701
2005:Q2,GenX,7706386,3424503,4281883,31489582
2005:Q2,Millennial,316748,115421,201326,5167861
2005:Q3,Silent,28232982,1737935,26495048,32461684
2005:Q3,BabyBoom,33256167,5929561,27326606,44075402
2005:Q3,GenX,8246767,3598638,4648129,31720820
2005:Q3,Millennial,363664,132834,230830,5531302
2005:Q4,Silent,28465937,1769300,26696637,32214379
2005:Q4,BabyBoom,34193644,6006331,28187313,44115785
2005:Q4,GenX,8645143,3761472,4883671,31937150
2005:Q4,Millennial,400391,152224,248167,5900598
2006:Q1,Silent,28885892,1808582,27077310,31956485
2006:Q1,BabyBoom,35299134,6101765,29197369,44154762
2006:Q1,GenX,9177020,3945264,5231756,32139285
2006:Q1,Millennial,453936,182284,271652,6275110
2006:Q2,Silent,28741936,1840709,26901226,31688799
2006:Q2,BabyBoom,35740460,6220431,29520029,44189244
2006:Q2,GenX,9356848,4114424,5242424,32327944
2006:Q2,Millennial,476743,203032,273711,6654201
2006:Q3,Silent,28836482,1865605,26970877,31412118
2006:Q3,BabyBoom,36583275,6335360,30247914,44216140
2006:Q3,GenX,9744040,4272222,5471818,32503840
2006:Q3,Millennial,507150,223967,283183,7037235
2006:Q4,Silent,28959411,1887338,27072073,31127240
2006:Q4,BabyBoom,37491057,6421677,31069379,44232363
2006:Q4,GenX,10214322,4392993,5821329,32667690
2006:Q4,Millennial,551465,247215,304250,7423572
2007:Q1,Silent,29041950,1895108,27146842,30834961
2007:Q1,BabyBoom,38185632,6411826,31773806,44234822
2007:Q1,GenX,10517289,4531046,5986243,32820210
2007:Q1,Millennial,588136,286798,301338,7812577
2007:Q2,Silent,28950829,1915042,27035787,30536079
2007:Q2,BabyBoom,38792956,6503838,32289118,44220428
2007:Q2,GenX,10844585,4667775,6176810,32962115
2007:Q2,Millennial,625989,318221,307768,8203612
2007:Q3,Silent,29067394,1928588,27138807,30231391
2007:Q3,BabyBoom,39481487,6549187,32932300,44186093
2007:Q3,GenX,11073726,4815618,6258108,33094122
2007:Q3,Millennial,631523,342814,288710,8596039
2007:Q4,Silent,28464055,1915153,26548902,29921749
2007:Q4,BabyBoom,39531171,6623836,32907336,44130018
2007:Q4,GenX,10946310,4899785,6046525,33216960
2007:Q4,Millennial,692636,374677,317959,8989454
2008:Q1,Silent,27571081,1893109,25677972,29608217
2008:Q1,BabyBoom,39041324,6665094,32376230,44055579
2008:Q1,GenX,10558675,4955098,5603577,33331411
2008:Q1,Millennial,697749,412200,285549,9384393
2008:Q2,Silent,26848647,1859955,24988693,29291913
2008:Q2,BabyBoom,38800659,6482497,32318161,43967441
2008:Q2,GenX,10380208,5025313,5354896,33438273
2008:Q2,Millennial,705971,498024,207947,9781621
2008:Q3,Silent,25906524,1836736,24069788,28973956
2008:Q3,BabyBoom,38053073,6637201,31415872,43870273
2008:Q3,GenX,9858049,5009630,4848418,33538343
2008:Q3,Millennial,723492,495199,228294,10181908
2008:Q4,Silent,24741642,1781215,22960427,28655466
2008:Q4,BabyBoom,36751125,6463105,30288020,43768739
2008:Q4,GenX,9073491,4980743,4092748,33632418
2008:Q4,Millennial,754443,493101,261342,10586021
2009:Q1,Silent,23844245,1732873,22111372,28337559
2009:Q1,BabyBoom,35980512,6460681,29519831,43667507
2009:Q1,GenX,8839135,4939431,3899703,33721294
2009:Q1,Millennial,772246,479227,293019,10994727
2009:Q2,Silent,23580722,1700983,21879739,28021355
2009:Q2,BabyBoom,36548525,6413697,30134829,43571244
2009:Q2,GenX,9153693,4941516,4212177,33805768
2009:Q2,Millennial,786715,520896,265819,11408795
2009:Q3,Silent,23687514,1666591,22020923,27707973
2009:Q3,BabyBoom,37629359,6451807,31177552,43484616
2009:Q3,GenX,9703738,4917777,4785961,33886638
2009:Q3,Millennial,829546,524967,304579,11828992
2009:Q4,Silent,23290495,1633497,21656997,27398530
2009:Q4,BabyBoom,37888710,6419807,31468902,43412289
2009:Q4,GenX,9888918,4917614,4971303,33964699
2009:Q4,Millennial,931456,570942,360514,12256086
2010:Q1,Silent,23262240,1604652,21657588,27094146
2010:Q1,BabyBoom,38646588,6351161,32295427,43358931
2010:Q1,GenX,10118551,4872982,5245569,34040749
2010:Q1,Millennial,1020896,613493,407403,12690845
2010:Q2,Silent,22725391,1570631,21154761,26795938
2010:Q2,BabyBoom,38650671,6260316,32390355,43329208
2010:Q2,GenX,9861942,4869430,4992512,34115585
2010:Q2,Millennial,1061568,683282,378286,13134036
2010:Q3,Silent,22883856,1528583,21355273,26505026
2010:Q3,BabyBoom,39887168,6218204,33668964,43327787
2010:Q3,GenX,10317178,4848796,5468382,34190003
2010:Q3,Millennial,1167893,726411,441482,13586428
2010:Q4,Silent,23048411,1494237,21554174,26222241
2010:Q4,BabyBoom,40589670,6191818,34397852,43357775
2010:Q4,GenX,10908662,4859773,6048889,34264512
2010:Q4,Millennial,1247780,768518,479262,14048591
2011:Q1,Silent,23030852,1455599,21575253,25947269
2011:Q1,BabyBoom,41025919,6091667,34934252,43416038
2011:Q1,GenX,11423335,4882965,6540370,34338466
2011:Q1,Millennial,1316248,849638,466610,14520307
2011:Q2,Silent,22887457,1416836,21470621,25679509
2011:Q2,BabyBoom,41165689,6026033,35139655,43497883
2011:Q2,GenX,11734890,4888616,6846274,34410932
2011:Q2,Millennial,1386085,893261,492824,15001162
2011:Q3,Silent,22204716,1382256,20822460,25418359
2011:Q3,BabyBoom,40353296,5947511,34405785,43598619
2011:Q3,GenX,11429902,4920794,6509108,34480976
2011:Q3,Millennial,1336368,961427,374941,15490741
2011:Q4,Silent,22257392,1350113,20907279,25163219
2011:Q4,BabyBoom,40899728,5906055,34993673,43713551
2011:Q4,GenX,11992149,4942967,7049182,34547663
2011:Q4,Millennial,1432195,1002647,429549,15988629
2012:Q1,Silent,22424727,1311534,21113194,24913488
2012:Q1,BabyBoom,41700532,5784815,35915717,43837988
2012:Q1,GenX,12720277,4947470,7772807,34610060
2012:Q1,Millennial,1562650,1095959,466691,16494412
2012:Q2,Silent,22177110,1277935,20899175,24668564
2012:Q2,BabyBoom,41768089,5726660,36041429,43967237
2012:Q2,GenX,12927789,4955275,7972515,34667233
2012:Q2,Millennial,1582430,1150194,432236,17007674
2012:Q3,Silent,22404596,1247426,21157170,24427847
2012:Q3,BabyBoom,42610514,5747415,36863099,44096603
2012:Q3,GenX,13599604,4958269,8641336,34718248
2012:Q3,Millennial,1691495,1168770,522725,17528001
2012:Q4,Silent,22252174,1212919,21039254,24190735
2012:Q4,BabyBoom,43007042,5562073,37444969,44221396
2012:Q4,GenX,14050462,5001940,9048523,34762171
2012:Q4,Millennial,1790427,1314480,475947,18054978
2013:Q1,Silent,22542147,1183549,21358597,23956627
2013:Q1,BabyBoom,44342454,5757471,38584983,44336922
2013:Q1,GenX,14958101,4936522,10021578,34798068
2013:Q1,Millennial,1965371,1185736,779635,18588190
2013:Q2,Silent,22322385,1158148,21164236,23724923
2013:Q2,BabyBoom,44903398,5735025,39168374,44438487
2013:Q2,GenX,15532090,4952975,10579115,34825005
2013:Q2,Millennial,2105093,1241796,863297,19127223
2013:Q3,Silent,22513149,1132233,21380916,23495021
2013:Q3,BabyBoom,46097244,5702976,40394267,44521400
2013:Q3,GenX,16387954,4997681,11390273,34842049
2013:Q3,Millennial,2264745,1315587,949157,19671662
2013:Q4,Silent,22664112,1147587,21516525,23266183
2013:Q4,BabyBoom,47505049,5785098,41719951,44582032
2013:Q4,GenX,16827602,5022215,11805387,34848641
2013:Q4,Millennial,2442838,1371731,1071107,20221269
2014:Q1,Silent,22825661,1144955,21680706,23037125
2014:Q1,BabyBoom,48597354,5687922,42909432,44621014
2014:Q1,GenX,17119066,5027931,12091134,34845727
2014:Q1,Millennial,2632957,1452630,1180327,20776517
2014:Q2,Silent,23073557,1148777,21924780,22806426
2014:Q2,BabyBoom,49823035,5601797,44221237,44640042
2014:Q2,GenX,17562632,5069545,12493087,34834632
2014:Q2,Millennial,2824592,1555450,1269142,21338055
2014:Q3,Silent,22947349,1142746,21804603,22572663
2014:Q3,BabyBoom,50329087,5441469,44887617,44640811
2014:Q3,GenX,17570479,5124062,12446417,34816676
2014:Q3,Millennial,3000915,1651543,1349373,21906533
2014:Q4,Silent,23043943,1145674,21898269,22334416
2014:Q4,BabyBoom,51244887,5364149,45880738,44625016
2014:Q4,GenX,17820713,5169634,12651079,34793182
2014:Q4,Millennial,3215255,1742830,1472425,22482602
2015:Q1,Silent,23105649,1141558,21964091,22090263
2015:Q1,BabyBoom,52192117,5284330,46907787,44594354
2015:Q1,GenX,18121690,5168085,12953605,34765472
2015:Q1,Millennial,3447201,1801759,1645442,23066909
2015:Q2,Silent,22991984,1148969,21843016,21838783
2015:Q2,BabyBoom,52756964,5267132,47489832,44550520
2015:Q2,GenX,18300370,5224408,13075961,34734870
2015:Q2,Millennial,3652804,1881156,1771647,23660105
2015:Q3,Silent,22552722,1151741,21400982,21578553
2015:Q3,BabyBoom,52614409,5214650,47399759,44495209
2015:Q3,GenX,17961602,5290824,12670778,34702698
2015:Q3,Millennial,3721034,1979995,1741039,24262841
2015:Q4,Silent,22541458,1150541,21390917,21308154
2015:Q4,BabyBoom,53530145,5114286,48415859,44430117
2015:Q4,GenX,18334078,5315752,13018326,34670277
2015:Q4,Millennial,3931123,2064039,1867083,24875764
2016:Q1,Silent,22489163,1145565,21343598,21026163
2016:Q1,BabyBoom,54283318,5046398,49236920,44356940
2016:Q1,GenX,18561251,5329026,13232225,34638931
2016:Q1,Millennial,4150316,2128457,2021859,25499526
2016:Q2,Silent,22560356,1149536,21410820,20731158
2016:Q2,BabyBoom,55248790,5042819,50205971,44277373
2016:Q2,GenX,18944187,5384275,13559912,34609981
2016:Q2,Millennial,4430181,2202253,2227928,26134775
2016:Q3,Silent,22542613,1151450,21391163,20421720
2016:Q3,BabyBoom,56239876,5016138,51223738,44193112
2016:Q3,GenX,19456868,5460279,13996589,34584751
2016:Q3,Millennial,4636635,2322306,2314329,26782161
2016:Q4,Silent,22077744,1127022,20950722,20097016
2016:Q4,BabyBoom,56303428,4986822,51316606,44105623
2016:Q4,GenX,20246305,5506640,14739665,34564317
2016:Q4,Millennial,4820235,2428231,2392005,27441847
2017:Q1,Silent,21955180,1098097,20857083,19758579
2017:Q1,BabyBoom,57267670,4943682,52323988,44015454
2017:Q1,GenX,21478352,5521477,15956875,34548774
2017:Q1,Millennial,5126361,2540613,2585748,28112041
2017:Q2,Silent,21772802,1076052,20696749,19408532
2017:Q2,BabyBoom,58081116,4933390,53147726,43922924
2017:Q2,GenX,22598826,5571560,17027266,34537970
2017:Q2,Millennial,5390450,2672075,2718375,28790468
2017:Q3,Silent,21499274,1050862,20448412,19048997
2017:Q3,BabyBoom,58771729,4917344,53854385,43828353
2017:Q3,GenX,23724027,5626363,18097665,34531755
2017:Q3,Millennial,5655591,2806417,2849174,29474847
2017:Q4,Silent,21378766,1029816,20348950,18682098
2017:Q4,BabyBoom,59823777,4938153,54885624,43732060
2017:Q4,GenX,25040155,5683330,19356825,34529977
2017:Q4,Millennial,5960861,2940892,3019969,30162903
2018:Q1,Silent,20917688,999132,19918556,18309957
2018:Q1,BabyBoom,60130636,4879703,55250932,43634363
2018:Q1,GenX,25984616,5693730,20290885,34532485
2018:Q1,Millennial,6250983,3070132,3180852,30852356
2018:Q2,Silent,20560923,974001,19586923,17934698
2018:Q2,BabyBoom,60655744,4835302,55820442,43535581
2018:Q2,GenX,27006825,5743956,21262869,34539128
2018:Q2,Millennial,6476568,3219453,3257115,31540930
2018:Q3,Silent,20362966,949065,19413900,17558442
2018:Q3,BabyBoom,61577074,4810756,56766318,43436034
2018:Q3,GenX,28192407,5806102,22386305,34549755
2018:Q3,Millennial,6752600,3380523,3372077,32226345
2018:Q4,Silent,19011237,923949,18087288,17183314
2018:Q4,BabyBoom,59707615,4766524,54941091,43336040
2018:Q4,GenX,27897926,5860173,22037753,34564215
2018:Q4,Millennial,6668714,3526340,3142374,32906326
2019:Q1,Silent,19516782,890634,18626148,16811435
2019:Q1,BabyBoom,62369328,4696913,57672415,43235920
2019:Q1,GenX,30024150,5852575,24171575,34582357
2019:Q1,Millennial,7325970,3625631,3700339,33578593
2019:Q2,Silent,19251897,869549,18382348,16444929
2019:Q2,BabyBoom,63261467,4724010,58537457,43135990
2019:Q2,GenX,31249893,5904905,25344989,34604029
2019:Q2,Millennial,7646032,3728842,3917190,34240869
2019:Q3,Silent,18707811,845644,17862167,16085918
2019:Q3,BabyBoom,63500115,4715085,58785030,43036572
2019:Q3,GenX,32216128,5958927,26257201,34629081
2019:Q3,Millennial,7779575,3866178,3913397,34890876
2019:Q4,Silent,19003632,818135,18185498,15736407
2019:Q4,BabyBoom,64953496,4698134,60255362,42938029
2019:Q4,GenX,33186438,6003331,27183107,34657410
2019:Q4,Millennial,8529569,4017550,4512019,35526434
2020:Q1,Silent,17529425,786957,16742468,15397929
2020:Q1,BabyBoom,61688176,4658026,57030150,42840910
2020:Q1,GenX,31631171,6007418,25623754,34689111
2020:Q1,Millennial,8642492,4134147,4508345,36145753
2020:Q2,Silent,18511180,752970,17758210,15071897
2020:Q2,BabyBoom,65077016,4535943,60541073,42745809
2020:Q2,GenX,33810066,5998506,27811559,34724327
2020:Q2,Millennial,9799882,4290832,5509050,36747141
2020:Q3,Silent,18940543,730865,18209678,14759726
2020:Q3,BabyBoom,66951212,4540552,62410660,42653321
2020:Q3,GenX,35122388,6056522,29065866,34763203
2020:Q3,Millennial,10707286,4492588,6214698,37328905
2020:Q4,Silent,19985144,711492,19273652,14462828
2020:Q4,BabyBoom,70711217,4537645,66173572,42564040
2020:Q4,GenX,37358737,6107063,31251674,34805881
2020:Q4,Millennial,11901226,4719260,7181966,37889353
2021:Q1,Silent,20446086,686241,19759845,14182619
2021:Q1,BabyBoom,72701035,4447537,68253497,42478561
2021:Q1,GenX,38839192,6125025,32714166,34852506
2021:Q1,Millennial,13031688,4973196,8058492,38426793
2021:Q2,Silent,21202491,685335,20517156,13920512
2021:Q2,BabyBoom,75715950,4573885,71142065,42397477
2021:Q2,GenX,40775414,6381401,34394013,34903221
2021:Q2,Millennial,14358020,5299712,9058308,38939532
2021:Q3,Silent,21386215,673195,20713020,13677922
2021:Q3,BabyBoom,76956066,4656419,72299647,42321383
2021:Q3,GenX,41678720,6499474,35179246,34958169
2021:Q3,Millennial,15380759,5450232,9930527,39425878
2021:Q4,Silent,21649275,665041,20984234,13456262
2021:Q4,BabyBoom,78464678,4741141,73723537,42250874
2021:Q4,GenX,42851686,6641806,36209880,35017494
2021:Q4,Millennial,16314910,5611211,10703699,39884139
