Date,Category,Assets,Nonfinancial assets,Real estate,Consumer durables,Financial assets,Deposits,Money market fund shares,Debt securities,U.S. government and municipal securities,Corporate and foreign bonds,Loans (Assets),Other loans and advances (Assets),Mortgages,Corporate equities and mutual fund shares,Life insurance reserves,Annuities,DC pension entitlements,DB pension entitlements,Equity in noncorporate business,Miscellaneous assets,Liabilities,Loans (Liabilities),Home mortgages,Consumer credit,Depository institutions loans n.e.c.,Other loans and advances (Liabilities),Deferred and unpaid life insurance premiums,Net worth,Household count
1991:Q2,Silent,18743720,5815068,4688819,1126249,12928652,2381925,333617,1008973,840191,168782,360789,229034,131755,1873588,249859,320721,541091,3434641,2272882,150566,1368613,1358808,947745,289653,617,120792,9806,17375107,47858021
1991:Q2,BabyBoom,6571723,3308104,2431328,876776,3263619,597805,107057,208631,164444,44187,49247,39495,9752,364762,157121,86391,262088,542136,789832,98548,2074537,2068273,1592752,451622,496,23402,6264,4497186,39713433
1991:Q2,GenX,276466,163337,82664,80673,113129,40863,2941,11086,8713,2373,0,0,0,0,8049,1019,831,19833,22265,6243,111176,110830,50153,60031,10,636,345,165290,7137654
1991:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q3,Silent,18903147,5827972,4690665,1137307,13075175,2361079,328582,1013821,856157,157664,368109,235624,132485,1967674,252320,326951,559349,3479537,2266963,150790,1380423,1370758,961550,285866,512,122830,9665,17522724,47610924
1991:Q3,BabyBoom,6749361,3365971,2484839,881131,3383391,597278,108022,214411,173288,41123,55627,45983,9644,428571,158733,88657,279507,566400,786172,100013,2087210,2081039,1597617,451493,401,31528,6171,4662151,39814258
1991:Q3,GenX,306276,179923,94886,85037,126353,44304,2729,12233,9501,2732,0,0,0,0,8880,1026,3586,23800,23013,6785,121499,121143,55336,65141,11,656,356,184777,7524699
1991:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991:Q4,Silent,19184694,5832422,4695570,1136852,13352272,2351191,326891,1013407,857140,156268,374144,243357,130787,2189226,255576,333152,579544,3523932,2253308,151901,1400749,1391182,979948,285293,998,124943,9567,17783946,47334189
1991:Q4,BabyBoom,7076233,3417526,2528087,889438,3658708,611228,112190,216214,176694,39520,74029,64492,9537,619636,161500,91923,302525,592025,775304,102133,2129667,2123548,1624608,457871,757,40312,6119,4946566,39922939
1991:Q4,GenX,360082,198084,106928,91157,161997,50356,2817,13784,10546,3238,0,0,0,17336,9954,1105,8108,28185,22873,7479,136813,136436,63323,72416,26,671,377,223269,7933834
1991:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q1,Silent,19213155,5851985,4721596,1130389,13361170,2282497,334315,1044745,880323,164422,375509,246101,129408,2173064,258791,339246,585473,3569758,2244819,152954,1414021,1404522,1004396,273753,1184,125188,9499,17799134,47030249
1992:Q1,BabyBoom,7078123,3460189,2557731,902459,3617934,548033,125044,228668,189487,39181,58700,49263,9437,584990,164459,91776,298348,644476,769120,104319,2117788,2111691,1629017,444488,867,37319,6098,4960335,40038735
1992:Q1,GenX,370594,214576,115219,99356,156019,43437,3892,15327,11391,3936,0,0,0,10696,11137,891,5693,33549,23163,8232,151219,150811,74863,75113,37,798,408,219375,8363508
1992:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q2,Silent,19283936,5873547,4744670,1128878,13410388,2258450,321906,1033562,867809,165753,379119,251224,127895,2187030,260739,345380,596205,3633505,2240260,154231,1428258,1418811,1021926,268683,1536,126666,9448,17855677,46701537
1992:Q2,BabyBoom,7161301,3498365,2582165,916200,3662936,542582,119549,225428,187733,37695,61893,52550,9343,577504,166104,97135,303981,695283,766729,106748,2127463,2121368,1634774,442829,1079,42686,6095,5033838,40160909
1992:Q2,GenX,380603,229363,121220,108143,151240,46196,2825,17470,12815,4655,29,0,29,7003,12171,1137,5727,25755,23847,9081,166721,166274,84542,80820,59,853,447,213882,8812171
1992:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q3,Silent,19452382,5887956,4747600,1140356,13564426,2242421,314506,1044411,889832,154579,382855,256631,126224,2256295,264641,351437,611609,3697390,2243330,155532,1437605,1428191,1033825,266010,927,127429,9414,18014777,46350486
1992:Q3,BabyBoom,7407145,3595707,2677046,918662,3811438,548389,118684,235488,201059,34429,59692,50446,9246,629153,170372,100993,320730,746202,772443,109292,2166114,2160001,1669195,446775,625,43405,6114,5241031,40288723
1992:Q3,GenX,413425,252049,139343,112706,161376,51241,2191,19153,13851,5302,194,8,185,11975,13752,1254,9119,16895,25597,10005,183504,183009,92858,89148,41,962,495,229921,9278273
1992:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992:Q4,Silent,19642490,5878902,4735024,1143878,13763588,2238156,312088,1046107,885168,160938,389486,266673,122813,2444783,264808,352470,612429,3718243,2229100,155918,1439040,1429736,1032541,266799,1308,129087,9304,18203450,45979805
1992:Q4,BabyBoom,7822991,3686697,2759889,926808,4136294,578553,107259,234218,197233,36985,56581,46116,10465,792936,176623,119656,349469,831408,777567,112023,2210879,2204631,1700997,460402,934,42299,6248,5612112,40421283
1992:Q4,GenX,479634,280072,157290,122782,199562,57765,917,19429,13953,5476,288,116,172,33523,15910,2328,12196,22575,23598,11034,206656,206098,107364,97568,69,1096,558,272978,9760183
1992:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q1,Silent,19743891,5875602,4756470,1119132,13868289,2196946,320606,1071099,880456,190643,395847,276286,119561,2518146,264635,353571,619255,3736539,2235886,155758,1422459,1413257,1023697,255861,2155,131544,9202,18321432,45593293
1993:Q1,BabyBoom,8018529,3706006,2758382,947624,4312523,554338,106856,236204,193672,42532,69828,58121,11706,840280,182680,130847,391612,878357,807046,114474,2219624,2213227,1712471,451770,1623,47363,6396,5798905,40557081
1993:Q1,GenX,512428,295112,155254,139858,217316,53121,1104,19933,14052,5881,149,0,149,37273,18187,2722,20116,27725,24930,12056,220104,219474,118536,99631,137,1169,630,292324,10255951
1993:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q2,Silent,19804934,5890444,4761992,1128452,13914490,2179065,321385,1057539,847121,210418,403140,286912,116227,2564425,264717,354658,618799,3754649,2240903,155210,1418543,1409446,1021346,253011,1930,133160,9096,18386392,45195024
1993:Q2,BabyBoom,8261939,3806281,2849392,956889,4455658,564105,97919,225589,178735,46854,80762,67795,12967,861633,189263,142567,415788,925508,835793,116731,2264849,2258304,1751812,458822,1547,46123,6545,5997090,40694454
1993:Q2,GenX,551224,319808,168703,151105,231416,55334,0,20668,14616,6052,129,0,129,36563,20735,3197,22388,33294,26023,13085,244190,243483,135188,106829,141,1325,707,307034,10763548
1993:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q3,Silent,19941185,5905269,4765446,1139823,14035916,2165667,324500,1062416,831528,230887,408127,295293,112834,2656152,264850,355602,619821,3772752,2250767,155261,1412757,1403770,1012306,253378,2203,135883,8987,18528428,44789070
1993:Q3,BabyBoom,8570951,3910078,2945536,964542,4660873,580691,91564,222969,171679,51289,72828,58582,14246,930457,196084,157923,442845,974643,871442,119427,2332328,2325635,1797475,472529,1871,53760,6693,6238623,40831741
1993:Q3,GenX,606606,346740,185038,161702,259867,59101,0,21003,14882,6120,150,38,112,44288,23505,4110,25899,39342,28198,14271,267865,267077,148751,116762,187,1376,788,338741,11280946
1993:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993:Q4,Silent,20119578,5925114,4780123,1144992,14194463,2147058,333697,1107116,832606,274510,413426,303991,109434,2751721,264913,356912,618473,3790622,2256379,154147,1414070,1405194,1005770,258959,2185,138280,8876,18705508,44379506
1993:Q4,BabyBoom,8868182,4007597,3027079,980518,4860585,588595,91586,229328,171189,58139,71938,56397,15541,1004629,202952,164859,463350,1018793,903167,121388,2393841,2387001,1829189,496876,1971,58965,6841,6474341,40967279
1993:Q4,GenX,660303,376278,199541,176738,284025,60833,0,21173,14895,6278,223,129,94,53471,26460,4096,27176,45678,29591,15322,297600,296726,164717,130333,213,1462,875,362703,11806113
1993:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q1,Silent,20183431,5949179,4816128,1133051,14234251,2124095,344921,1184308,894164,290144,418626,312455,106171,2694352,263523,358366,614439,3808723,2269152,153747,1396134,1387366,992323,252117,2965,139961,8768,18787297,43970405
1994:Q1,BabyBoom,8978353,4062543,3064148,998395,4915810,588286,93863,256534,194443,62091,71526,54669,16857,917940,208032,170489,476276,1064550,944478,123837,2425777,2418784,1861551,495859,2823,58550,6993,6552576,41099405
1994:Q1,GenX,668109,396805,202093,194712,271305,60352,0,19654,13603,6051,285,218,67,30599,29169,3904,25537,52491,32766,16547,314917,313949,176079,135900,339,1632,968,353192,12337021
1994:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q2,Silent,20275483,5978639,4842129,1136510,14296844,2095955,347089,1247084,937008,310076,422007,319248,102760,2680493,262354,360180,616088,3827012,2285731,152851,1397819,1389156,988593,254988,3841,141734,8662,18877665,43565840
1994:Q2,BabyBoom,9135198,4148398,3135609,1012789,4986801,577172,85769,277898,211362,66537,64885,46708,18177,869583,213430,170993,502594,1107261,991259,125956,2475417,2468271,1890731,515036,3854,58650,7147,6659781,41226457
1994:Q2,GenX,690039,423040,212725,210315,266999,56670,0,17929,12199,5730,486,437,49,13040,32101,3030,29226,59642,37145,17730,347733,346665,195792,148556,512,1805,1068,342306,12871640
1994:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q3,Silent,20374981,5967624,4818116,1149508,14407357,2083722,356700,1269677,952322,317355,425504,326188,99316,2729998,265248,361802,621038,3845905,2294740,153023,1398782,1390229,983748,259187,3968,143326,8553,18976199,43169886
1994:Q3,BabyBoom,9428508,4259796,3236264,1023533,5168711,592653,86005,286497,216633,69864,60768,41265,19503,892617,224154,178011,536737,1153043,1029445,128781,2528021,2520726,1922250,537530,4221,56724,7295,6900487,41346772
1994:Q3,GenX,751918,462735,239262,223473,289183,59869,0,16587,11434,5153,654,620,34,9868,36535,2931,36474,67317,39787,19161,382574,381403,215546,163236,601,2020,1170,369344,13407942
1994:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994:Q4,Silent,20467942,5935930,4783175,1152754,14532012,2070216,370908,1366234,1014777,351457,428656,333163,95493,2733075,263531,364068,614245,3865230,2303268,152581,1407379,1398935,980235,267839,4853,146008,8444,19060563,42786615
1994:Q4,BabyBoom,9610364,4343014,3309296,1033719,5267350,604713,91918,319391,243678,75713,57952,37151,20801,859991,228795,175459,539280,1191392,1067293,131165,2596948,2589507,1948945,570515,5431,64615,7441,7013416,41458689
1994:Q4,GenX,792770,506989,269326,237663,285781,62124,320,13017,8354,4663,837,786,51,0,39613,1509,30351,75168,42326,20517,424291,423015,237264,182814,851,2087,1277,368478,13943896
1994:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q1,Silent,20585570,5909544,4752325,1157219,14676026,2064690,384060,1344302,982190,362112,432759,340647,92112,2849447,264328,365855,623712,3885863,2307109,153901,1392240,1383890,968658,262590,5240,147402,8350,19193330,42420100
1995:Q1,BabyBoom,9954998,4418478,3369708,1048770,5536520,630647,97305,306037,226551,79486,57664,35540,22124,962160,236645,185226,583566,1243323,1099238,134708,2618269,2610670,1972540,571929,6194,60007,7598,7336729,41560544
1995:Q1,GenX,878136,547877,293170,254707,330259,68560,1652,13380,9589,3791,941,906,35,8100,43691,1714,42672,83890,43381,22279,446068,444674,251238,190026,1043,2366,1395,432068,14477472
1995:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q2,Silent,20707642,5862818,4693296,1169522,14844823,2063944,400290,1315025,963757,351268,436131,347427,88704,2970242,266335,367096,632526,3925131,2312877,155226,1388296,1380035,959098,265450,6142,149345,8260,19319346,42074416
1995:Q2,BabyBoom,10381950,4527472,3476559,1050913,5854478,664656,106955,298177,216584,81594,55335,31901,23434,1072866,245954,206039,625684,1307491,1133116,138205,2679595,2671840,2012557,591740,7619,59925,7754,7702355,41650675
1995:Q2,GenX,969323,602349,338453,263896,366974,77832,3927,12586,10098,2488,1100,1078,23,26530,48355,3546,54815,69429,44757,24095,478617,477098,267181,205936,1401,2580,1518,490707,15006643
1995:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q3,Silent,20802857,5719243,4543725,1175518,15083613,2050955,410778,1341877,966722,375155,439176,353863,85313,3115243,265913,368942,645303,3966692,2326011,152724,1393106,1384932,955753,270059,6910,152211,8174,19409750,41753636
1995:Q3,BabyBoom,10714755,4537866,3483243,1054623,6176889,673376,108523,302515,215871,86644,52363,27635,24728,1210102,251839,219071,678281,1366273,1175568,138978,2746363,2738456,2044903,615635,8996,68922,7907,7968392,41727420
1995:Q3,GenX,1066482,661052,386169,274883,405431,79383,4665,10980,9624,1356,1284,1271,12,52873,52245,4325,72853,53391,48344,25087,519662,518016,289682,223906,1792,2636,1646,546821,15529378
1995:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995:Q4,Silent,21074752,5738356,4560902,1177454,15336396,2042099,425325,1375512,952864,422648,449824,365309,84515,3277723,263157,371035,660710,3998897,2319407,152710,1406615,1398569,951529,282621,9286,155132,8046,19668137,41460467
1995:Q4,BabyBoom,11127391,4598487,3529519,1068968,6528904,695120,119154,310595,215872,94724,59693,35994,23699,1358323,263290,225152,726494,1411553,1218207,141324,2794930,2786760,2071585,639316,12603,63257,8170,8332462,41789886
1995:Q4,GenX,1149712,681711,398827,282884,468001,86061,5263,14141,11452,2689,2556,2537,19,82027,53759,4904,78274,55919,58907,26190,550913,549207,297394,246224,2541,3048,1706,598799,16044046
1995:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q1,Silent,21280796,5799635,4618681,1180954,15481161,2045411,448892,1360218,932146,428072,457761,374132,83630,3370550,258539,373310,675253,4032722,2307095,151410,1409085,1401166,953568,281074,6267,160257,7919,19871711,41192149
1996:Q1,BabyBoom,11449438,4652377,3564441,1087936,6797061,735944,143674,311975,212638,99337,59375,36746,22630,1424063,272011,231544,773440,1450239,1252111,142685,2839743,2831320,2113457,628898,9357,79607,8423,8609695,41840260
1996:Q1,GenX,1216828,701093,407540,293553,515735,99618,8953,17114,13588,3526,4259,4219,40,90271,54396,5564,82788,58201,67609,26962,570467,568705,311834,252235,1588,3048,1762,646361,16550614
1996:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q2,Silent,21508667,5842083,4656132,1185951,15666584,2031804,450303,1410390,963146,447244,463250,380586,82664,3476909,255477,375896,685683,4068122,2298427,150321,1428759,1420956,960562,288399,8373,163622,7803,20079908,40944558
1996:Q2,BabyBoom,11729377,4721090,3625242,1095848,7008287,742477,135110,336307,231192,105115,44681,23155,21526,1503433,282544,236081,807614,1486797,1289125,144117,2878816,2870136,2139674,639762,12948,77753,8680,8850561,41881500
1996:Q2,GenX,1257705,716451,419433,297017,541255,101764,5121,18108,13548,4560,6675,6600,75,102557,55522,5947,79702,60404,77705,27750,607846,606027,331972,268418,2228,3409,1819,649859,17049448
1996:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q3,Silent,21630237,5882671,4689887,1192784,15747566,2026016,462998,1405609,983301,422309,470570,388899,81671,3507529,254896,378761,698296,4104918,2287568,150406,1448074,1440385,968914,295445,9023,167003,7689,20182163,40713566
1996:Q3,BabyBoom,11947580,4789059,3680010,1109049,7158521,760831,143671,352315,245509,106806,31589,11191,20398,1496667,296070,238772,849417,1520381,1322496,146313,2915440,2906508,2166583,649877,14633,75415,8932,9032140,41916562
1996:Q3,GenX,1296182,741538,438196,303342,554643,108194,5054,18996,13941,5054,9446,9326,119,90815,57608,6025,80023,62479,87190,28814,646486,644611,353865,284525,2426,3795,1875,649696,17540912
1996:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996:Q4,Silent,21889633,5909992,4722053,1187939,15979641,2015206,478291,1412646,999796,412850,480638,399938,80700,3633761,254774,383685,730789,4142694,2297032,150127,1463276,1455700,973176,304635,6789,171100,7576,20426357,40495050
1996:Q4,BabyBoom,12321663,4828323,3702351,1125971,7493340,768526,157119,368185,258404,109781,55926,36673,19253,1596635,310000,206653,968034,1535622,1378415,148224,2961394,2952213,2195414,665154,11889,79756,9181,9360269,41948403
1996:Q4,GenX,1421482,778719,464701,314019,642763,110900,6155,20271,14512,5759,11190,11024,166,109357,59853,51,127484,63713,104020,29770,681797,679869,370041,304089,1684,4055,1928,739686,18025372
1996:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q1,Silent,21925368,5934851,4743812,1191039,15990516,2007997,496699,1306030,964526,341504,488008,408219,79789,3671807,253088,386489,736345,4181827,2312029,150198,1469997,1462578,977854,300322,9319,175083,7419,20455370,40284882
1997:Q1,BabyBoom,12498773,4876632,3733839,1142793,7622141,781028,176662,353547,246749,106798,32596,14499,18096,1596746,321866,213762,987414,1569158,1438992,150370,2973766,2964380,2216436,648709,16659,82576,9386,9525008,41979981
1997:Q1,GenX,1465785,809149,485937,323212,656637,115419,8879,23363,17724,5640,15137,14925,212,98648,61360,740,113658,65742,122877,30813,700578,698631,386657,305144,2473,4357,1947,765207,18503192
1997:Q1,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q2,Silent,22407112,5969382,4774703,1194679,16437730,2003353,500425,1304212,951227,352984,496354,417281,79073,4035978,253575,388089,765564,4221983,2317848,150350,1486266,1478999,984054,305138,10301,179506,7267,20920846,40078938
1997:Q2,BabyBoom,13209360,4951105,3802711,1148395,8258255,796671,169392,356772,245360,111413,34821,17880,16941,1955004,336412,245538,1105379,1617106,1488573,152586,3014855,3005262,2242769,654092,19087,89314,9593,10194505,42014252
1997:Q2,GenX,1680954,841647,517756,323891,839307,121198,4228,26446,19810,6636,18429,18187,242,195316,63832,5945,164730,68443,138863,31878,733710,731745,405571,318809,2783,4582,1965,947244,18974739
1997:Q2,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q3,Silent,22764940,5990899,4787395,1203505,16774040,2001787,514703,1311213,942509,368704,505834,427359,78476,4263767,253905,390151,788630,4262627,2329895,151529,1505587,1498470,997569,310570,5679,184652,7117,21259353,39873091
1997:Q3,BabyBoom,13751783,5028411,3868918,1159493,8723372,816448,182328,362538,246011,116527,21348,5570,15778,2159004,350788,267747,1204312,1658848,1544448,155564,3068691,3058886,2283731,661393,11605,102158,9805,10683092,42054173
1997:Q3,GenX,1860066,884003,557007,326996,976064,128665,4976,29424,21705,7718,23008,22747,261,247357,66243,9604,205436,70848,157254,33249,777928,775947,436170,333842,1257,4678,1981,1082138,19440377
1997:Q3,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997:Q4,Silent,22993515,6035266,4837236,1198030,16958249,2005556,529342,1307126,957966,349160,512786,435283,77503,4353722,250779,393907,792300,4303371,2359430,149930,1528203,1521234,1005279,318431,9210,188313,6970,21465311,39663217
1997:Q4,BabyBoom,14058103,5090509,3910218,1180291,8967594,844082,196723,375955,257906,118049,27950,13374,14576,2220336,361058,262112,1221744,1682906,1618092,156637,3095186,3085164,2290444,674082,18868,101770,10022,10962917,42102702
1997:Q4,GenX,1934298,922475,582835,339640,1011823,139354,6108,30970,22660,8310,26963,26636,327,257257,66982,8066,188307,72350,181660,33806,820029,818032,458986,351652,2313,5082,1997,1114269,19900472
1997:Q4,Millennial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998:Q1,Silent,23543632,6081450,4877995,1203454,17462183,1993436,551789,1314039,932870,381169,517804,441417,76386,4773168,249181,395562,818928,4344726,2354131,149419,1538823,1532048,1015704,313874,9881,192589,6775,22004809,39445189
1998:Q1,BabyBoom,14891033,5192893,3999798,1193095,9698140,846445,227809,376007,250933,125075,42266,28912,13354,2621441,373408,290913,1347533,1756978,1656778,158561,3103870,3093670,2306997,658783,20951,106938,10201,11787163,42162795
